"","country","RCP2.6","RCP2.6_volatility","RCP8.5","RCP8.5_volatility"
"1","Albania",6.99,6.95,6.88,6.76
"2","Angola",6.21,6.2,6.25,6.27
"3","Argentina",5.57,5.74,5.66,5.96
"4","Australia",19.31,19.26,19.23,18.58
"5","Austria",18.7,18.69,18.65,18.25
"6","Azerbaijan",10.44,10.45,10.43,10.44
"7","Bahamas",10.55,10.59,10.54,10.56
"8","Bangladesh",7.92,6.5,7.88,3.75
"9","Belarus",6.7,6.71,6.85,7
"10","Belgium",17.5,17.57,17.44,17.41
"11","Belize",5.16,5.15,5.22,5.3
"12","Benin",6.8,6.8,6.81,6.79
"13","Bolivia",8.67,8.68,8.69,8.68
"14","Bosnia and Herzegovina",6.57,6.59,6.74,6.87
"15","Botswana",13,13.02,12.85,12.26
"16","Brazil",8.64,8.64,8.6,8.62
"17","Bulgaria",11.29,11.38,11.35,11.09
"18","Burkina Faso",6,6.01,6.08,6.13
"19","Cameroon",6.39,6.39,6.44,6.5
"20","Canada",19.07,18.87,18.6,17.16
"21","Cape Verde",5.97,5.99,5.94,5.9
"22","Chile",14.41,13.57,14.11,11.98
"23","China",14.99,15.14,14.48,14.26
"24","Colombia",10.07,10.08,10,8.58
"25","Congo",5.45,5.44,5.47,5.5
"26","Congo D.R.",5.12,5.11,5.35,5.48
"27","Costa Rica",7.78,7.74,7.73,7.58
"28","Croatia",9.96,10.08,9.95,10.02
"29","Cyprus",10.83,10.85,10.79,10.67
"30","Czech Republic",16.21,16.28,16.14,15.86
"31","Denmark",19.63,19.67,19.61,19.44
"32","Dominican Republic",7.69,7.74,7.65,7.57
"33","Ecuador",6.3,6.38,6.36,6.68
"34","Egypt",5.69,5.69,5.67,5.67
"35","El Salvador",5.79,5.78,5.84,5.83
"36","Estonia",16.56,16.64,16.47,16.18
"37","Fiji",7.91,7.99,8.03,8.39
"38","Finland",18.8,18.93,18.78,18.77
"39","France",17.67,17.71,17.59,17.36
"40","Georgia",7.88,7.91,7.84,7.44
"41","Germany",19.53,19.7,19.47,19.37
"42","Ghana",5.8,5.82,5.82,5.84
"43","Greece",7,7.41,7.06,7.78
"44","Guatemala",8.45,8.45,8.51,8.53
"45","Honduras",7.72,7.72,7.73,7.72
"46","Hungary",11.51,11.56,11.53,11.39
"47","Iceland",15.43,15.43,15.44,15.5
"48","India",9.78,9.41,9.16,7.83
"49","Indonesia",9.37,9.11,8.91,7.69
"50","Iraq",6.43,6.4,6.5,6.68
"51","Ireland",16.65,16.65,16.65,16.63
"52","Israel",16.27,16.31,16.23,16.08
"53","Italy",11.9,11.9,11.8,11.76
"54","Japan",15.75,15.63,15.65,14.98
"55","Jordan",7.11,7.03,7.01,6.19
"56","Kazakhstan",11.01,10.86,10.91,10.17
"57","Kenya",6.64,6.67,6.6,6.53
"58","Korea",17.5,16.84,17.42,15.8
"59","Kuwait",17.51,17.51,17.49,17.47
"60","Latvia",14.23,14.3,14.13,13.62
"61","Lebanon",4.65,4.6,4.61,4.39
"62","Lithuania",14.47,14.54,14.43,14.31
"63","Luxembourg",19.72,19.7,19.68,19.56
"64","Malaysia",13.01,13.1,12.67,12.52
"65","Mexico",12.67,12.7,12.55,12.1
"66","Mongolia",5.68,5.69,5.67,5.69
"67","Morocco",9.87,9.91,9.6,8.92
"68","Mozambique",3.41,3.49,3.44,3.54
"69","Netherlands",19.53,19.58,19.48,19.4
"70","New Zealand",17.79,14.61,17.73,9.89
"71","Nicaragua",5.89,5.89,5.95,5.98
"72","Nigeria",6.82,6.82,6.87,6.92
"73","North Macedonia",8.21,8.24,8.24,7.1
"74","Norway",19.59,19.64,19.57,19.55
"75","Oman",10.48,10.48,10.49,10.42
"76","Pakistan",5.65,5.63,5.62,5.51
"77","Panama",11.71,11.7,11.62,11.47
"78","Papua New Guinea",6.69,6.69,6.73,6.73
"79","Paraguay",9.21,8.81,9.17,7.94
"80","Peru",11.88,11.74,11.78,8.8
"81","Philippines",11.19,10.66,10.7,9.01
"82","Poland",12.75,12.96,12.54,12.11
"83","Portugal",10.76,10.75,10.74,10.2
"84","Qatar",17.2,17.23,17.14,17.12
"85","Romania",11.13,11.13,11.11,9.43
"86","Russia",11.23,11.27,11.2,11.17
"87","Rwanda",6.44,6.44,6.45,6.46
"88","Saudi Arabia",14.36,14.41,14.37,14.39
"89","Senegal",6.71,6.74,6.7,6.66
"90","Serbia",8.35,8.29,8.25,7.65
"91","Slovakia",14.75,14.61,14.34,12.53
"92","Slovenia",15.14,15.01,14.88,14.5
"93","South Africa",8.95,8.89,8.77,7.67
"94","Spain",13.4,13.42,13.25,13.13
"95","Sri Lanka",6.24,6.24,6.19,6.13
"96","Suriname",6.52,6.4,6.46,5.91
"97","Sweden",19.44,19.5,19.4,19.16
"98","Switzerland",19.63,19.37,19.4,18.2
"99","Tajikistan",5.79,5.79,5.88,5.94
"100","Thailand",12.34,12.34,12.32,11.27
"101","Trinidad and Tobago",13.35,13.39,13.34,13.44
"102","Turkey",8.7,8.55,8.56,7.68
"103","Uganda",6.12,6.12,6.15,6.17
"104","Ukraine",5.89,5.9,5.91,5.79
"105","United Kingdom",17.54,17.56,17.42,16.76
"106","United States",18.51,18.43,18.24,17.54
"107","Uruguay",12.36,12.36,12.33,12.16
"108","Vietnam",8.31,8.29,8.26,6.78
"109","Zambia",5.59,5.62,5.63,5.66
